"name,image_url"
"Maruti Swift,https://source.unsplash.com/600x400/?maruti,swift,car"
"Maruti Baleno,https://source.unsplash.com/600x400/?maruti,baleno,car"
"Maruti Alto,https://source.unsplash.com/600x400/?maruti,alto,car"
"Maruti WagonR,https://source.unsplash.com/600x400/?maruti,wagonr,car"
"Maruti Dzire,https://source.unsplash.com/600x400/?maruti,dzire,car"
"Hyundai i20,https://source.unsplash.com/600x400/?hyundai,i20,car"
"Hyundai Creta,https://source.unsplash.com/600x400/?hyundai,creta,car"
"Hyundai Verna,https://source.unsplash.com/600x400/?hyundai,verna,car"
"Hyundai Venue,https://source.unsplash.com/600x400/?hyundai,venue,car"
"Hyundai Santro,https://source.unsplash.com/600x400/?hyundai,santro,car"
"Honda City,https://source.unsplash.com/600x400/?honda,city,car"
"Honda Amaze,https://source.unsplash.com/600x400/?honda,amaze,car"
"Honda WR-V,https://source.unsplash.com/600x400/?honda,wrv,car"
"Honda Jazz,https://source.unsplash.com/600x400/?honda,jazz,car"
"Tata Nexon,https://source.unsplash.com/600x400/?tata,nexon,car"
"Tata Punch,https://source.unsplash.com/600x400/?tata,punch,car"
"Tata Harrier,https://source.unsplash.com/600x400/?tata,harrier,car"
"Tata Safari,https://source.unsplash.com/600x400/?tata,safari,car"
"Tata Tiago,https://source.unsplash.com/600x400/?tata,tiago,car"
"Tata Altroz,https://source.unsplash.com/600x400/?tata,altroz,car"
"Mahindra Thar,https://source.unsplash.com/600x400/?mahindra,thar,car"
"Mahindra Scorpio,https://source.unsplash.com/600x400/?mahindra,scorpio,car"
"Mahindra XUV700,https://source.unsplash.com/600x400/?mahindra,xuv700,car"
"Mahindra Bolero,https://source.unsplash.com/600x400/?mahindra,bolero,car"
"Mahindra XUV300,https://source.unsplash.com/600x400/?mahindra,xuv300,car"
"Toyota Innova,https://source.unsplash.com/600x400/?toyota,innova,car"
"Toyota Fortuner,https://source.unsplash.com/600x400/?toyota,fortuner,car"
"Toyota Glanza,https://source.unsplash.com/600x400/?toyota,glanza,car"
"Toyota Urban Cruiser,https://source.unsplash.com/600x400/?toyota,urbancruiser,car"
"Kia Seltos,https://source.unsplash.com/600x400/?kia,seltos,car"
"Kia Sonet,https://source.unsplash.com/600x400/?kia,sonet,car"
"Kia Carens,https://source.unsplash.com/600x400/?kia,carens,car"
"Renault Kwid,https://source.unsplash.com/600x400/?renault,kwid,car"
"Renault Kiger,https://source.unsplash.com/600x400/?renault,kiger,car"
"Renault Triber,https://source.unsplash.com/600x400/?renault,triber,car"
"Nissan Magnite,https://source.unsplash.com/600x400/?nissan,magnite,car"
"Skoda Rapid,https://source.unsplash.com/600x400/?skoda,rapid,car"
"Skoda Slavia,https://source.unsplash.com/600x400/?skoda,slavia,car"
"Skoda Kushaq,https://source.unsplash.com/600x400/?skoda,kushaq,car"
"Volkswagen Polo,https://source.unsplash.com/600x400/?volkswagen,polo,car"
"Volkswagen Virtus,https://source.unsplash.com/600x400/?volkswagen,virtus,car"
"Volkswagen Taigun,https://source.unsplash.com/600x400/?volkswagen,taigun,car"
"MG Hector,https://source.unsplash.com/600x400/?mg,hector,car"
"MG Astor,https://source.unsplash.com/600x400/?mg,astor,car"
"MG Comet,https://source.unsplash.com/600x400/?mg,comet,car"
"Jeep Compass,https://source.unsplash.com/600x400/?jeep,compass,car"
"Jeep Meridian,https://source.unsplash.com/600x400/?jeep,meridian,car"
"Ford EcoSport,https://source.unsplash.com/600x400/?ford,ecosport,car"
"Ford Endeavour,https://source.unsplash.com/600x400/?ford,endeavour,car"
